"Export date: 5/14/2020, 12:12:44 PM","","#","Product Name","Brand","Price","Mo. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","LQS","Seller type","Category","ASIN","Link"
"","","58","SOLDIERKNIFE Durable Waterproof Anti Theft Laptop Backpack Travel Backpacks Bookbag with usb Charging Port for Women & Men School College Students Backpack Fits 15.6 Inch Laptop Grey","SOLDIERKNIFE","$22.98","4451","$102284","","$14.82","1442","4.5","$8.16","5","FBA","Laptop Backpacks","B07SDNTVFD","https://www.amazon.com/dp/B07SDNTVFD"
"","","59","Modoker Upgraded Vintage Laptop Backpack for Women MenSchool College Backpack with USB Charging Port Fashion Backpack Computer Bag Fits 15 inch Notebook (Grey-Function Update)","Modoker","$28.99","160","$4638","","$19.93","397","4.5","$9.06","6","FBA","Laptop Backpacks","B076LS75YD","https://www.amazon.com/dp/B076LS75YD"
"","","60","Laptop Backpack Business Water Resistant Laptops Backpack Gift for Men Women with Lock and USB Charging Port Mancro Anti Theft College School Bookbag Travel Computer Bag for 15.6 Inch LaptopsGrey","Mancro","$16.99","3500","$59465","","$9.73","9418","4.5","$7.26","6","FBA","Laptop Backpacks","B01LY3QXGP","https://www.amazon.com/dp/B01LY3QXGP"
"","","61","PANS Backpack Large Military Expandable Travel Backpack Tactical Waterproof Hiking Backpack for Men","Feeke","$37.99","3156","$119896","","$27.06","1251","4.5","$10.93","5","FBA","Sports & Outdoors","B07GDCS123","https://www.amazon.com/dp/B07GDCS123"
"","","62","Vintage Backpack Anti Theft Laptop Backpack Men Women Business Travel Computer Backpack School College Bookbag Stylish Water Resistant Vintage Backpack with USB Port Fits 15.6 Inch Laptop Black","HFSX","$21.99","415","$9126","","$13.87","249","4.5","$8.12","7","FBA","Laptop Backpacks","B07S4F8GFL","https://www.amazon.com/Vintage-Backpack-Business-Computer-Resistant/dp/B07S4F8GFL/ref=sr_1_49?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-49"
"","","63","Laptop Backpack Anti Theft Slim with USB Charging Port & a Small Pouch","KEYTANG","$12.95","","","","","6","5","","","FBA","","B07ZVGF5LB","https://www.amazon.com/dp/B07ZVGF5LB"
"","","64","Laptop Backpack Slim Water Resistant College Travel Backpack for 15.6 Inch Laptop","ZOMAKE","$24.99","","","","","0","","","","FBA","","B08591JRCB","https://www.amazon.com/dp/B08591JRCB"
"","","65","Markryden Water-proof Business laptop Backpack Black-3 Pocket Size one-size","MARK RYDEN","$54.99","191","$10503","","$38.32","438","4.5","$16.67","4","FBA","Laptop Backpacks","B07SK6G374","https://www.amazon.com/Water-proof-Business-Backpack-Markryden-large-capacity/dp/B07SK6G374/ref=sr_1_53?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-53"
"","","66","Tzowla Travel Laptop Backpack Waterproof Business Work School College Bag Daypack with USB Charging&Headphone Port for Men Women Boy Girl Student Durable Luggage Backpacks Fit 15.6/17Inch(Purple)","Tzowla","$27.99","174","$4870","","$18.93","632","4.5","$9.06","7","FBA","Laptop Backpacks","B07YFFMHHL","https://www.amazon.com/Tzowla-Backpack-Waterproof-Headphone-Backpacks/dp/B07YFFMHHL/ref=sr_1_54?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-54"
"","","67","Under Armour Recruit Backpack 2.0","Under Armour","$31.77","405","$12867","","$19.05","339","5","$12.72","3","AMZ","Clothing Shoes & Jewelry","B077KHJZ21","https://www.amazon.com/Under-Armour-Recruit-2-0-Backpack/dp/B077KHJZ21/ref=sr_1_55?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-55"
"","","68","Carhartt Legacy Standard Work Backpack with Padded Laptop Sleeve and Tablet Storage Carhartt Brown","Carhartt","$55.39","831","$46029","","$39.18","896","4.5","$16.21","4","AMZ","Laptop Backpacks","B00SRWA544","https://www.amazon.com/Carhartt-Legacy-Standard-Backpack-Storage/dp/B00SRWA544/ref=sr_1_56?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-56"
"","","69","Under Armour unisex-adult Hustle 4.0 Backpack","Under Armour","$28.54","458","$13071","","$19.55","2415","5","$8.99","3","","Clothing Shoes & Jewelry","B07J3C7GYY","https://www.amazon.com/Under-Armour-Hustle-Backpack-Watermelon/dp/B07J3C7GYY/ref=sr_1_57?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-57"
"","","70","Starter Men's Sport Backpack with Logo","Starter","$19.50","210","$4095","","$8.7","64","4.5","$10.8","3","AMZ","Clothing Shoes & Jewelry","B07CL1JK83","https://www.amazon.com/Starter-Backpack-Amazon-Exclusive-Black/dp/B07CL1JK83/ref=sr_1_58?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-58"
"","","71","Business Travel Laptop Backpack 17.3 inch with USB Charging Port Waterproof Anti TheftSchool College Work Computer Backpack for Men Women Black","Superbuytech","$27.99","7","$196","","$19.07","45","4.5","$8.92","5","FBA","","B07Y2VNSY3","https://www.amazon.com/Business-Backpack-17-3-inch-Waterproof/dp/B07Y2VNSY3/ref=sr_1_59?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-59"
"","","72","Travel Laptop Business Backpack Anti Theft Water Resistant College School Computer Bagpack Gifts for Men & Women Fits 15.6 Inch Notebook with USB Charging Port Bonus a Small pencil Case Orange","KEYTANG","$9.95","120","$1194","","","13","4.5","","","FBA","Laptop Backpacks","B07ZV9YL2F","https://www.amazon.com/Travel-Business-Backpack-Resistant-Computer/dp/B07ZV9YL2F/ref=sr_1_60?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-60"
"","","73","KALIDI Casual Backpack for Women15 Inches Laptop Classic Backpack Camping Rucksack Travel Outdoor Daypack College School Bag","KALIDI","$36.99","217","$8027","","$26.73","979","4.5","$10.26","7","FBA","","B07V67HV5V","https://www.amazon.com/KALIDI-Backpack-Classic-Camping-Rucksack/dp/B07V67HV5V/ref=sr_1_61?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-61"
"","","74","Boulder Pack Co. Lightweight Foldable Travel & Hiking Backpack Daypack Bag - Fits Laptop","Boulder Pack Co","$17.99","71","$1277","","$12.1","131","4","$5.89","6","FBA","","B07BYGRF8Y","https://www.amazon.com/Boulder-Pack-Lightweight-Foldable-Backpack/dp/B07BYGRF8Y/ref=sr_1_62?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-62"
"","","75","ASPENSPORT Laptop Backpack for Men School Bookbag Fit 15.6'-17Water Repellent","ASPEN","$15.99","30","$480","","$5.51","506","4.5","$10.48","5","","","ASPENSPORT","https://www.amazon.com/ASPENSPORT-Backpack-Business-Waterproof-Lightweight/dp/B077YFHV8Z/ref=sr_1_63?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-63"
"","","76","Waterfly Crossbody Sling Backpack Sling Bag Travel Hiking Chest Bag Daypack","WATERFLY","$16.99","1185","$20133","","$11.25","565","4.5","$5.74","6","FBA","Sports & Outdoors","B07WNM894Y","https://www.amazon.com/Waterfly-Crossbody-Backpack-Travel-Daypack/dp/B07WNM894Y/ref=sr_1_64?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-64"
"","","77","PUMA Big Kid's Lunch Box","PUMA","$19.06","130","$2478","","$11.49","285","4.5","$7.57","2","AMZ","Clothing Shoes & Jewelry","B07CSFFHKM","https://www.amazon.com/PUMA-Kids-Lunch-Backpack-Combo/dp/B07CSFFHKM/ref=sr_1_65?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-65"
"","","78","Laptop Backpack 17 Inch Business Travel Backpacks for Men Women Extra Large Waterproof TSA Anti Theft College School Bookbags with USB Charging Port 17.3 Gaming Computer Backpack 45L Blue","NEWHEY","$39.86","60","$2392","","$28.9","37","5","$10.96","7","FBA","Laptop Backpacks","B0858X964B","https://www.amazon.com/Backpack-Business-Backpacks-Waterproof-Bookbags/dp/B0858X964B/ref=sr_1_66?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-66"
"","","79","PUMA Unisex-Adult's Dash Backpack","PUMA","$22.29","270","$6018","","$11.14","147","4.5","$11.15","2","AMZ","Clothing Shoes & Jewelry","B07K8QCGFR","https://www.amazon.com/PUMA-Unisex-Adults-Dash-Backpack-black/dp/B07K8QCGFR/ref=sr_1_67?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-67"
"","","80","The North Face Women's Borealis Backpack","The North Face","$88.95","324","$28820","","$67.95","154","4.5","$21","3","FBA","Clothing Shoes & Jewelry","B0764GN7RX","https://www.amazon.com/North-Face-Womens-Borealis-Backpack/dp/B0764GN7RX/ref=sr_1_68?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-68"
"","","81","Travel Laptop Business Backpack Anti Theft College Computer Bagpack Keyhole zipper Design Fits 15.6 Inch Notebook with USB Charging Port & Reinforce Straps Bonus a Small pencil Case Light red","KEYTANG","$20.95","0","$0","","","14","4.5","","","FBA","Laptop Backpacks","B07ZV9JYLC","https://www.amazon.com/dp/B07ZV9JYLC"
"","","82","Professional Anti-theft BackpackTravel Laptop Business School Bookbag Backpack with RFID Pocket & 2 Side Elasticized Pockets USB Charging Port Bonus a Small pencil Case","KEYTANG","$24.95","0","$0","","$12.63","14","4.5","$12.32","4","FBA","Laptop Backpacks","B07ZV9Z7KD","https://www.amazon.com/dp/B07ZV9Z7KD"
"","","83","Travel Laptop Backpack Casual Daypack Outdoor Sports School Shoulder Bag for Women and Girls 18 Water Resistant","Araya","$10.89","","","","","0","","","","FBM","","B086TZR5L6","https://www.amazon.com/dp/B086TZR5L6"
"","","84","SOLDIERKNIFE Extra Large Durable 50L Travel Laptop Backpack School Backpack Travel Backpack College Bookbag with USB Charging Port fit 17 Inch Laptops for Men Women Including Lock Purple","SOLDIERKNIFE","$38.99","276","$10761","","$28.07","266","4.5","$10.92","","FBA","Laptop Backpacks","B07V6XQ4WM","https://www.amazon.com/dp/B07V6XQ4WM"
"","","85","Simple Modern Legacy Backpack with Laptop Compartment Sleeve - 25L Travel Bag for Men & Women College Work School - Pacific Dream (Color Blocked)","Simple Modern","$9.99","40","$400","","$3.78","5","4.5","$6.21","","FBA","Laptop Backpacks","B081KCB2YS","https://www.amazon.com/Simple-Modern-Legacy-Backpack-Compartment/dp/B081KCB2YS/ref=sr_1_73?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-73"
"","","86","High Capacity Canvas Vintage Backpack - for School Hiking Travel 12-17' Laptop","AUGUR","$33.99","503","$17097","","$24.05","799","4.5","$9.94","4","FBA","Laptop Backpacks","B07125HNSV","https://www.amazon.com/AUGUR-Vintage-Leather-Backpack-Rucksack/dp/B07125HNSV/ref=sr_1_74?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-74"
"","","87","AmazonBasics Laptop Computer Backpack - Fits Up To 17 Inch Laptops","AmazonBasics","$34.59","1565","$54133","","$20.97","10765","4.5","$13.62","3","AMZ","Laptop Backpacks","B00EEBS9O0","https://www.amazon.com/AmazonBasics-Backpack-Laptops-up-17-inches/dp/B00EEBS9O0/ref=sr_1_75?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-75"
"","","88","Michael Kors Women's Abbey Large Backpack","Michael Kors","$149.99","303","$45447","","$122.36","348","4.5","$27.63","2","FBA","Clothing Shoes & Jewelry","B07FWFMGLQ","https://www.amazon.com/MICHAEL-Michael-Kors-Leather-Backpack/dp/B07FWFMGLQ/ref=sr_1_76?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-76"
"","","89","LXY Vintage Leather Brown BackpackLaptop Vegan Backpack For Women Men With USB Charging PortFashion Travel College Bookbag Casual Weekender Daypack","LXY","$33.59","0","$0","","$23.84","0","","$9.75","","FBA","","B0828GRXLY","https://www.amazon.com/LXY-Vintage-Backpack-Charging-Weekender/dp/B0828GRXLY/ref=sr_1_77?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-77"
"","","90","The Backpack: A Wounded Police Officers Struggle with the Burden All Cops Share","Brandon S. Hultink","$11.00","230","$2530","","","18","5","","","FBM","Books","161035351X","https://www.amazon.com/Backpack-Wounded-Police-Officers-Struggle/dp/161035351X/ref=sr_1_78?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-78"
"","","91","The North Face Jester Backpack","The North Face","$51.70","583","$30141","","$39.23","2122","5","$12.47","5","FBA","Clothing Shoes & Jewelry","B07J2M9FFR","https://www.amazon.com/North-Face-Jester-Backpack-High-Rise/dp/B07J2M9FFR/ref=sr_1_79?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-79"
"","","92","XQXA Laptop Backpack Travel Business Backpack for Men & Women with USB Charging Port Water Resistant Anti Theft School College Computer Back Pack Bag Fits Up to 17 Inch Notebook - Black","XQXA","$23.96","276","$6613","","$15.66","343","4.5","$8.3","5","FBA","Laptop Backpacks","B07Y39PR7C","https://www.amazon.com/XQXA-Backpack-Business-Charging-Resistant/dp/B07Y39PR7C/ref=sr_1_80?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-80"
"","","93","Travel Laptop Backpack AMBOR 15.6-17.3 Inch Anti Theft Business Backpack with USB Charging Port and Headphone InterfaceLarge Computer Backpack School Daypack Backpack for Women and Men-Grey","AMBOR","$19.99","939","$18771","","$12.28","1251","4.5","$7.71","7","FBA","Laptop Backpacks","B07P2PD88S","https://www.amazon.com/AMBOR-Backpack-Business-Headphone-Interface/dp/B07P2PD88S/ref=sr_1_81?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-81"
"","","94","KROSER Laptop Backpack 15.6 Inch Stylish School Computer Backpack Doctor Bag Water Repellent College Casual Daypack with USB Port Travel Business Work Bag for Men/Women-Black","KROSER","$29.99","2512","$75335","","$22.3","6219","4.5","$7.69","4","FBA","Laptop Backpacks","B0784LMD7J","https://www.amazon.com/KROSER-Backpack-Computer-Repellent-Men-Black/dp/B0784LMD7J/ref=sr_1_82?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-82"
"","","95","Nike Kyrie Backpack","Nike","$60.00","30","$1800","","$42.95","14","4.5","$17.05","4","FBA","Clothing Shoes & Jewelry","B07G7J8Z6X","https://www.amazon.com/Nike-Kyrie-Backpack/dp/B07G7J8Z6X/ref=sr_1_83?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-83"
"","","96","Swiss Gear SA1908 Black TSA Friendly ScanSmart Laptop Backpack - Fits Most 17 Inch Laptops and Tablets","SwissGear","$53.53","524","$28050","","$37.1","2136","4.5","$16.43","4","AMZ","Laptop Backpacks","B002OHDIWY","https://www.amazon.com/Swiss-Gear-Friendly-ScanSmart-Backpack/dp/B002OHDIWY/ref=sr_1_84?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-84"
"","","97","Travel Laptop BackpackTSA Large Travel Backpack for Women Men 17 Inch Business Flight Approved Carry On Backpack with USB Charger Port and Luggage Sleeve MATEIN Durable College School BookbagGrey","MATEIN","$21.96","236","$5183","","$13.88","273","4.5","$8.08","7","FBA","Laptop Backpacks","B07QN9NPKN","https://www.amazon.com/Backpack-MATEIN-Resistant-Business-Approved/dp/B07QN9NPKN/ref=sr_1_85?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-85"
"","","98","The North Face Pivoter Backpack","The North Face","$78.95","41","$3237","","$58.94","42","4.5","$20.01","3","FBA","","B0764GYGD5","https://www.amazon.com/North-Face-Pivoter-Backpack-Unisex/dp/B0764GYGD5/ref=sr_1_86?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-86"
"","","99","Osprey Porter 30 Travel Backpack","Osprey","$88.95","15","$1334","","$67.21","319","5","$21.74","3","AMZ","Clothing Shoes & Jewelry","B07Z9Z9C8S","https://www.amazon.com/Osprey-Porter-Travel-Backpack-Kraken/dp/B07Z9Z9C8S/ref=sr_1_88?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-88"
"","","100","Himawari Laptop Backpack Travel Backpack With USB Charging Port Large Diaper Bag Doctor Bag School Backpack for Women&Men (XK-05-USB L","himawari","$38.99","1084","$42265","","$28.43","1825","4.5","$10.56","7","FBA","Laptop Backpacks","B07JCGF6P6","https://www.amazon.com/Himawari-Laptop-Backpack-Travel-Charging/dp/B07JCGF6P6/ref=sr_1_89?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-89"
"","","101","MICHAEL Michael Kors Rhea Zip Medium Backpack","Michael Michael Kors","$188.50","45","$8483","","$155.29","173","4.5","$33.21","3","FBM","Clothing Shoes & Jewelry","B00QICULL2","https://www.amazon.com/MICHAEL-Michael-Kors-Leather-Backpack/dp/B00QICULL2/ref=sr_1_90?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-90"
"","","102","Laptop Backpack15.6 Inch Stylish College School Backpack with USB Charging PortWater Resistant Casual Daypack Laptop Backpack for Women/Girls/Business/Travel (Flower Pattern)","VSNOON","$22.09","3818","$84340","","$13.97","1641","4.5","$8.12","5","FBA","Laptop Backpacks","B07TT2DBMJ","https://www.amazon.com/Backpack-Stylish-Charging-Resistant-Business/dp/B07TT2DBMJ/ref=sr_1_91?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-91"
"","","103","Fjallraven - Kanken Classic Backpack for Everyday","Fjallraven","$79.95","984","$78671","","$64.77","499","5","$15.18","5","FBM","Clothing Shoes & Jewelry","B007AGQF7E","https://www.amazon.com/Fjallraven-Kanken-Classic-Backpack-Everyday/dp/B007AGQF7E/ref=sr_1_92?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-92"
"","","104","KROSER Travel Laptop Backpack 17.3 Inch Large Computer Backpack Water-Repellent School Daypack with USB Charging Port & Headphone Interface RFID Pockets for Work/Business/College/Men/Women","KROSER","$26.99","318","$8583","","$17.98","998","4.5","$9.01","7","FBA","Laptop Backpacks","B07MK6JZ9S","https://www.amazon.com/KROSER-15-6-17-3-Water-Repellent-Headphone-Interface/dp/B07MK6JZ9S/ref=sr_1_93?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-93"
"","","105","PUMA Women's Evercat Royale Backpack","PUMA","$19.04","30","$571","","$11.47","50","4.5","$7.57","2","AMZ","Clothing Shoes & Jewelry","B079T6WMPQ","https://www.amazon.com/PUMA-Womens-Evercat-Royale-Backpack/dp/B079T6WMPQ/ref=sr_1_94?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-94"
"","","106","Microsoft Surface Pro 3 (256 GB Intel Core i7) (Renewed)","Microsoft","$550.00","5","$2750","","$462.05","522","3.5","$87.95","3","","Electronics","B00VVIDD4A","https://www.amazon.com/Microsoft-Surface-Intel-Core-Renewed/dp/B00VVIDD4A/ref=sr_1_95?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-95"
"","","107","Laptop Backpack with USB Port Anti-Theft College Bookbag School Business Travel Computer Backpack Fits up to 15.6-inch","MAXTOP","$17.97","","","","$10.56","18","4.5","$7.41","","FBA","","B082WT8F5B","https://www.amazon.com/Backpack-Charging-Anti-Theft-Resistant-Business/dp/B082WT8F5B/ref=sr_1_96?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-96"
"","","108","Vera Bradley Lighten Up Sling Backpack Polyester","Vera Bradley","$35.57","238","$8466","","$22.5","156","4.5","$13.07","3","AMZ","Clothing Shoes & Jewelry","B07PVH8SPJ","https://www.amazon.com/Vera-Bradley-Lighten-Up-Sling-Backpack-Polyester/dp/B07PVH8SPJ/ref=sr_1_97?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-97"
"","","109","Backpack for Men and WomenSchool Backpack for TeensLaptop Backpack with USB Charging Port","YAMTION","$29.99","40","$1200","","$20.78","217","4.5","$9.21","4","FBA","Laptop Backpacks","B07X7DXPRJ","https://www.amazon.com/Backpack-Women-School-Laptop-Charging/dp/B07X7DXPRJ/ref=sr_1_98?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-98"
"","","110","ALDO Haalesa Backpack Light Grey","ALDO","$45.99","30","$1380","","$34.38","2","5","$11.61","2","AMZ","Clothing Shoes & Jewelry","B0817GYSC8","https://www.amazon.com/ALDO-Haalesa-Backpack-Light-Grey/dp/B0817GYSC8/ref=sr_1_99?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-99"
"","","111","AmazonBasics Campus Laptop Backpack - Black","AmazonBasics","$22.57","25","$564","","$10.9","711","4.5","$11.67","3","AMZ","Laptop Backpacks","B071CRMDS4","https://www.amazon.com/AmazonBasics-Campus-Laptop-Backpack-Black/dp/B071CRMDS4/ref=sr_1_100?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-100"
"","","112","Under Armour unisex-adult Hustle 3.0 Backpack","Under Armour","$39.98","294","$11754","","$26.14","3352","4.5","$13.84","3","AMZ","Clothing Shoes & Jewelry","B01KLV3CFW","https://www.amazon.com/Under-Armour-Hustle-Backpack-Silver/dp/B01KLV3CFW/ref=sr_1_101?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-101"
"","","113","KOPACK Lightweight Laptop Backpack USB Port 15.6 Inch Business Slim Commute Travel Bag","kopack","$33.99","349","$11863","","$20.86","3606","4.5","$13.13","6","FBA","Laptop Backpacks","B01FFA730Y","https://www.amazon.com/KOPACK-Lightweight-Backpack-Resistant-Business/dp/B01FFA730Y/ref=sr_1_102?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-102"
"","","114","LXY Vegan Leather Backpack Vintage Laptop Bookbag for Women Men","LXY","$27.69","90","$2492","","$18.83","954","4.5","$8.86","6","FBA","","B07MJ8Q3HC","https://www.amazon.com/LXY-Leather-Backpack-Vintage-Bookbag/dp/B07MJ8Q3HC/ref=sr_1_103?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-103"
"","","115","Kenneth Cole Reaction Sophie Women's Silky Nylon 15.0' Laptop & Tablet Anti-Theft RFID Backpack","Kenneth Cole REACTION","$62.64","7","$438","","$45.17","237","4.5","$17.47","4","AMZ","","B07FNVL25S","https://www.amazon.com/Kenneth-Cole-Reaction-Business-Backpack/dp/B07FNVL25S/ref=sr_1_104?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-104"
"","","116","Yerchic Laptop Backpack 15.6 Inch with USB Port Travel Backpack Gift for Men & Women Water Resistant Slim College School Computer Bag Grey","Yerchic","$17.99","60","$1079","","","0","","","","FBA","Laptop Backpacks","B085MTKDXM","https://www.amazon.com/dp/B085MTKDXM"
"","","117","HFSX Backpack Bookbags Laptop Backpack for Women Men Vintage Backpack College Backpack Travel Bookbag Laptop Bookbags with USB Charging Port Gray Backpacks Fits 15.6 inch Notebook","HFSX","$17.99","508","$9139","","$10.58","1009","4.5","$7.41","5","FBA","Laptop Backpacks","B07C942KHD","https://www.amazon.com/dp/B07C942KHD"
"","","118","Travel Laptop Business Backpack Anti Theft Water Resistant College School Computer Bagpack Gifts for Men & Women Fits 15.6 Inch Notebook with USB Charging Port Bonus a Small pencil Case Red","KEYTANG","$23.95","6","$144","","$15.65","27","5","$8.3","4","FBA","Laptop Backpacks","B07ZVDHKJT","https://www.amazon.com/dp/B07ZVDHKJT"
"","","119","Travel Laptop Business Backpack Anti Theft College Computer Bagpack Keyhole zipper Design Gifts for Men & Women Fits 15.6 Inch Notebook with USB Charging Port Bonus a Small pencil CaseSand yellow","KEYTANG","$19.95","0","$0","","","9","5","","","FBA","Laptop Backpacks","B07ZVF7P1J","https://www.amazon.com/dp/B07ZVF7P1J"